Группа и строка из 646 приказа;Тип продукции;ID типа продукции;Продукция;ТН ВЭД Продукции;Guid продукции;Вид продукции;ТН ВЭД Вида продукции;Guid вида продукции
Группа 2, Строка 1;Мясо и мясопродукты;1;субпродукты мелкого рогатого скота;206;0afdd23b-6fbb-ce96-669f-b0922b9efb85;субпродукты бараньи охлажденные;206;6a7587cc-2794-1107-0850-b0ff852ef163
Группа 2, Строка 1;Мясо и мясопродукты;1;мясо птицы;207;337f79dc-4376-6e33-dabe-d5447913b97d;"индейка: ""части тушек необваленные, охлажденные""";207262001;2f7972cc-48a4-91e4-fb9d-1686e21b1a74
Группа 2, Строка 1;Мясо и мясопродукты;1;мясо птицы;207;337f79dc-4376-6e33-dabe-d5447913b97d;"индейка: ""части тушек обваленные мороженые""";207271;eab535a2-398e-5836-5193-6b955d1ab22f
Группа 2, Строка 1;Мясо и мясопродукты;1;мясо птицы;207;337f79dc-4376-6e33-dabe-d5447913b97d;"утки, гуси или цесарки: ""части тушек необваленные, мороженые""";020745, 020755, 020760;121fc1da-5cee-720b-7807-adb18213dbfa
Группа 2, Строка 1;Мясо и мясопродукты;1;мясо птицы;207;337f79dc-4376-6e33-dabe-d5447913b97d;"утки, гуси или цесарки: ""части тушек обваленные, мороженые""";02073611-02073615;c4131b64-b2df-f8b0-03b5-ccee21a2fd7a
Группа 2, Строка 1;Мясо и мясопродукты;1;мясо птицы;207;337f79dc-4376-6e33-dabe-d5447913b97d;"курица домашняя: ""части тушек обваленные мороженые""";207141;4c7ee80b-d421-5239-7d98-a764707b81f8
Группа 2, Строка 1;Мясо и мясопродукты;1;мясо птицы;207;337f79dc-4376-6e33-dabe-d5447913b97d;"индейка: ""части тушек обваленные, охлажденные""";207261;596b1e8e-26d4-f5fb-ad3c-4b8954a7e966
Группа 2, Строка 1;Мясо и мясопродукты;1;мясо птицы;207;337f79dc-4376-6e33-dabe-d5447913b97d;"индейка: ""не разделенная на части, мороженая""";20725;ffc0d2ba-4c47-1ff9-50e2-3d2f7b7b31cb
Группа 2, Строка 1;Мясо и мясопродукты;1;мясо птицы;207;337f79dc-4376-6e33-dabe-d5447913b97d;мясо и субпродукты птицы;207;b6f3e39e-0063-2e50-104d-5594e8c0dfea
Группа 2, Строка 1;Мясо и мясопродукты;1;мясо птицы;207;337f79dc-4376-6e33-dabe-d5447913b97d;"утки, гуси или цесарки: ""не разделенные на части, мороженые""";020742, 020752, 020760;c1824f8d-a3d4-b744-2f4b-1c8251a425b6
Группа 2, Строка 1;Мясо и мясопродукты;1;мясо птицы;207;337f79dc-4376-6e33-dabe-d5447913b97d;"утки, гуси или цесарки: ""не разделенные на части, мороженые""";20745;8d8a3bd0-4080-acab-bd79-60934ea2e729
Группа 2, Строка 1;Мясо и мясопродукты;1;мясо птицы;207;337f79dc-4376-6e33-dabe-d5447913b97d;"утки, гуси или цесарки: ""части тушек обваленные, мороженые""";020745, 020755, 020760;434454e3-c241-5558-15a3-ec798e97e0cd
Группа 2, Строка 1;Мясо и мясопродукты;1;мясо птицы;207;337f79dc-4376-6e33-dabe-d5447913b97d;"курица домашняя: ""не разделенная на части охлажденная""";20711;bcb270cd-84fa-f3ad-6e4b-705eb50d703f
